[2025-06-23 21:57:30] [INFO    ] discord.client: logging in using static token
[2025-06-23 21:57:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'testbot link', 'primary_guild': None, 'mfa_enabled': False, 'id': '1386697985248858224', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0836', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'f6d35769b13197ca23ee5c0797685468', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '834362038779772928'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['milan', 'paris', 'madrid', 'frankfurt', 'frankfurt-two'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1386697985248858224', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-d-pv0x",{"micros":167102,"calls":["id_created",{"micros":729,"calls":[]},"session_lookup_time",{"micros":1178,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-33",{"micros":162481,"calls":["start_session",{"micros":158602,"calls":["discord-api-rpc-7999dd69b5-475d5",{"micros":118544,"calls":["get_user",{"micros":12781},"get_guilds",{"micros":7882},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":15},"pending_payments",{"micros":1082},"apex_experiments",{"micros":4},"user_activities",{"micros":2},"played_application_ids",{"micros":1}]}]},"starting_guild_connect",{"micros":25,"calls":[]},"presence_started",{"micros":1625,"calls":[]},"guilds_started",{"micros":71,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":2136,"calls":[]},"connect_finished",{"micros":2140,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-06-23 21:57:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 21:57:31] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: f6d35769b13197ca23ee5c0797685468).
[2025-06-23 21:57:31] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-23 21:57:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'max_video_channel_users': 25, 'embedded_activities': [], 'mfa_level': 0, 'latest_onboarding_question_id': None, 'joined_at': '2025-06-23T13:53:52.755469+00:00', 'safety_alerts_channel_id': None, 'profile': None, 'rules_channel_id': None, 'guild_scheduled_events': [], 'afk_timeout': 300, 'id': '834362038779772928', 'name': 'serveur test', 'nsfw': False, 'verification_level': 0, 'application_id': None, 'voice_states': [], 'system_channel_id': None, 'features': [], 'threads': [], 'premium_subscription_count': 0, 'premium_features': None, 'moderator_reporting': None, 'explicit_content_filter': 0, 'banner': None, 'stickers': [], 'description': None, 'member_count': 3, 'afk_channel_id': None, 'application_command_counts': {}, 'members': [{'user': {'username': '.linkuwu', 'public_flags': 64, 'primary_guild': None, 'id': '671763159932993567', 'global_name': 'LinkUwU', 'display_name': 'LinkUwU', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1384247972107386911', 'expires_at': 1755990000, 'asset': 'a_40222dd9e7bb6e2949cd8f4bd857fe8b'}, 'avatar': '4447557b649d7dd887de84dd36086c88'}, 'roles': ['1386788069344149654'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-04-21T09:36:51.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'testbot link', 'public_flags': 0, 'primary_guild': None, 'id': '1386697985248858224', 'global_name': None, 'display_name': None, 'discriminator': '0836', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1386705825770373265'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-23T13:53:52.755469+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'link_test', 'public_flags': 0, 'primary_guild': None, 'id': '1386780088573624431', 'global_name': 'Link_test', 'display_name': 'Link_test', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-23T19:06:32.976464+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'splash': None, 'public_updates_channel_id': None, 'icon': None, 'large': False, 'stage_instances': [], 'preferred_locale': 'en-US', 'roles': [{'version': 1750705964002, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835081', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '834362038779772928', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750706948904, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '6546771521', 'name': 'staff', 'mentionable': False, 'managed': False, 'id': '834364220064923668', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750706948909, 'unicode_emoji': None, 'tags': {'bot_id': '1386697985248858224'}, 'position': 3, 'permissions': '8', 'name': 'testbot', 'mentionable': False, 'managed': True, 'id': '1386705825770373265', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750706454896, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'weeb', 'mentionable': False, 'managed': False, 'id': '1386788069344149654', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 10038562}, 'color': 10038562}], 'owner_id': '671763159932993567', 'premium_progress_bar_enabled': False, 'inventory_settings': None, 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Salons textuels', 'id': '834362038779772929', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Salons vocaux', 'id': '834362038779772930', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '834362038779772930', 'name': 'Général', 'last_message_id': None, 'id': '834362038779772932', 'flags': 0, 'bitrate': 64000}, {'version': 1750686665187, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '834362038779772929', 'nsfw': False, 'name': 'général', 'last_message_id': '1386796225038127216', 'id': '1386705096284307579', 'flags': 0}], 'system_channel_flags': 0, 'discovery_splash': None, 'nsfw_level': 0, 'lazy': True, 'vanity_url_code': None, 'max_members': 500000, 'unavailable': False, 'home_header': None, 'emojis': [{'version': 0, 'roles': [], 'require_colons': True, 'name': 'Capturedcran20210706193459', 'managed': False, 'id': '862024165360140348', 'available': True, 'animated': False}], 'presences': [{'user': {'id': '671763159932993567'}, 'status': 'online', 'processed_at_timestamp': 1750706118872, 'client_status': {'desktop': 'online'}, 'activities': [{'type': 4, 'state': 'My life is potato', 'session_id': '4c738394db32b46323e62d5ccaedde26', 'name': 'Custom Status', 'id': 'custom', 'created_at': 1750706118872}]}, {'user': {'id': '1386697985248858224'}, 'status': 'online', 'processed_at_timestamp': 0, 'client_status': {'web': 'online'}, 'activities': []}], 'default_message_notifications': 0, 'hub_type': None, 'soundboard_sounds': [], 'version': 1750686670602, 'max_stage_video_channel_users': 50, 'premium_tier': 0, 'region': 'deprecated', 'activity_instances': [], 'incidents_data': None}}
[2025-06-23 21:57:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 21:57:31] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-23 21:57:33] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-23 21:57:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 3, 'op': 0, 'd': {'user_id': '671763159932993567', 'timestamp': 1750708656, 'member': {'user': {'username': '.linkuwu', 'public_flags': 64, 'primary_guild': None, 'id': '671763159932993567', 'global_name': 'LinkUwU', 'display_name': 'LinkUwU', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1384247972107386911', 'expires_at': 1755990000, 'asset': 'a_40222dd9e7bb6e2949cd8f4bd857fe8b'}, 'avatar': '4447557b649d7dd887de84dd36086c88'}, 'roles': ['1386788069344149654'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-04-21T09:36:51.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1386705096284307579', 'guild_id': '834362038779772928'}}
[2025-06-23 21:57:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 21:57:37] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-23 21:57:37] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-06-23 21:57:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-23T19:57:41.217000+00:00', 'pinned': False, 'nonce': '1386797385400713216', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1386788069344149654'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-04-21T09:36:51.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1386797381575770142', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll Am I gay ?', 'components': [], 'channel_type': 0, 'channel_id': '1386705096284307579', 'author': {'username': '.linkuwu', 'public_flags': 64, 'primary_guild': None, 'id': '671763159932993567', 'global_name': 'LinkUwU', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1384247972107386911', 'expires_at': 1755990000, 'asset': 'a_40222dd9e7bb6e2949cd8f4bd857fe8b'}, 'avatar': '4447557b649d7dd887de84dd36086c88'}, 'attachments': [], 'guild_id': '834362038779772928'}}
[2025-06-23 21:57:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 21:57:42] [DEBUG   ] discord.client: Dispatching event message
[2025-06-23 21:57:42] [DEBUG   ] discord.client: Dispatching event command
[2025-06-23 21:57:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-23T19:57:41.346000+00:00', 'pinned': False, 'nonce': '12581771382811999048', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1386705825770373265'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-23T13:53:52.755469+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1386797382116839517', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Polling', 'description': 'Am I gay ?', 'content_scan_version': 0}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1386705096284307579', 'author': {'username': 'testbot link', 'public_flags': 0, 'primary_guild': None, 'id': '1386697985248858224', 'global_name': None, 'discriminator': '0836', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '834362038779772928'}}
[2025-06-23 21:57:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 21:57:42] [DEBUG   ] discord.client: Dispatching event message
[2025-06-23 21:57:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1386705096284307579/messages with {"embeds":[{"flags":0,"type":"rich","description":"Am I gay ?","title":"Polling"}],"content":null,"components":[],"nonce":"12581771382811999048","enforce_nonce":true,"tts":false} has returned 200
[2025-06-23 21:57:42] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-06-23 21:57:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1386705096284307579/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Polling', 'description': 'Am I gay ?', 'content_scan_version': 0}], 'timestamp': '2025-06-23T19:57:41.346000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1386797382116839517', 'channel_id': '1386705096284307579', 'author': {'id': '1386697985248858224', 'username': 'testbot link', 'avatar': None, 'discriminator': '0836', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '12581771382811999048'}
[2025-06-23 21:57:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 6, 'op': 0, 'd': {'user_id': '1386697985248858224', 'type': 0, 'message_id': '1386797382116839517', 'message_author_id': '1386697985248858224', 'member': {'user': {'username': 'testbot link', 'public_flags': 0, 'primary_guild': None, 'id': '1386697985248858224', 'global_name': None, 'display_name': None, 'discriminator': '0836', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1386705825770373265'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-23T13:53:52.755469+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1386705096284307579', 'burst': False, 'guild_id': '834362038779772928'}}
[2025-06-23 21:57:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 21:57:42] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-06-23 21:57:42] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-06-23 21:57:42] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1386705096284307579/messages/1386797382116839517/reactions/%F0%9F%91%8D/@me with None has returned 204
[2025-06-23 21:57:42] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2025-06-23 21:57:42] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-06-23 21:57:42] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1386705096284307579/messages/1386797382116839517/reactions/%F0%9F%91%8D/@me has received 
[2025-06-23 21:57:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 7, 'op': 0, 'd': {'user_id': '1386697985248858224', 'type': 0, 'message_id': '1386797382116839517', 'message_author_id': '1386697985248858224', 'member': {'user': {'username': 'testbot link', 'public_flags': 0, 'primary_guild': None, 'id': '1386697985248858224', 'global_name': None, 'display_name': None, 'discriminator': '0836', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1386705825770373265'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-23T13:53:52.755469+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1386705096284307579', 'burst': False, 'guild_id': '834362038779772928'}}
[2025-06-23 21:57:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-23 21:57:43] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-06-23 21:57:43] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-06-23 21:57:43] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1386705096284307579/messages/1386797382116839517/reactions/%F0%9F%91%8E/@me with None has returned 204
[2025-06-23 21:57:43] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-06-23 21:57:43] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1386705096284307579/messages/1386797382116839517/reactions/%F0%9F%91%8E/@me has received 
[2025-06-23 21:57:43] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-06-23 21:58:12] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-06-23 21:58:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-23 21:58:54] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-06-23 21:58:54] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
